date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:28	516/516	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2005:08:54%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-notion.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-notion.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:28	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakedent&tide=Mid	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/index602c.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:00:28	629/629	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2006:17:01%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-darumaccho.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-darumaccho.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:28	257/257	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2006:17:34%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-nspot.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-nspot.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:28	367/367	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2003:52:50%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-appstore.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-appstore.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:29	343/343	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2003:53:00%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-googleplay.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-googleplay.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:29	322/322	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2003:55:08%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-statink.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-statink.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:29	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakedent&tide=High	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/indexe803.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:00:29	849/849	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2004:42:31%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-inkipedia.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-inkipedia.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:29	337/337	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2005:05:47%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-monsieur.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-monsieur.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:30	241/241	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2004:36:26%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-twitter.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-twitter.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:30	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakedent&tide=Low	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/index73ee.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:00:30	252/252	---M-Z	302	error ('Found')	text/html	date:Tue,%2013%20Jun%202023%2016:00:30%20GMT	https://twitter.com/search?q=%E3%83%90%E3%82%A4%E3%83%88%E3%82%B7%E3%83%8A%E3%83%AA%E3%82%AA&src=typed_query&f=live	C:/My%20Web%20Sites/salmonrunNW/twitter.com/search.214775.delayed	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:30	268/268	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2004:38:29%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-jobscenario.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-jobscenario.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:30	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakeup&tide=Mid	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/index1b33.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
